jp,tw,kw
"ｶﾞｽﾄﾗ「帝国からも優秀な将軍と兵士を
	　同行させる。
	　レオ将軍！！","Gastra: I'll have a superior general and soldiers
	 from the Empire travel with you as well.
	 General Leo!!","GESTAHL: I'll have my finest warrior accompany us!
	General Leo!"
"ﾚｵ「将軍レオでございます。
	　よろしく。","Leo: I am General Leo.
	 Pleased to meet you.","LEO: I'm General Leo
	Nice to meet you."
"{ﾏｯｼｭ}「ドマでみかけた…？
	　そうか、あの時の…
	　敵ながらできたヤツ。
	　レオ将軍というのか……","{Mash}: I saw him at Doma...?
	 Right, he's that guy...
	 an enemy, but decent.
	 That's General Leo...","{SABIN}: Didn't I see you at Doma?
	...I'm SURE I did...
	So that was General Leo..."
"ﾚｵ「あなたは！？　ドマの戦士
	　{カイエン}どの。
	　ケフカが毒を使うのを止められな
	　かったこと…　ゆるしてほしい。
Leo: You!? Sir {Cayenne},
	 warrior of Doma.
	 I hope you'll forgive me... I couldn't
	 stop Cefca from using poison.
LEO: You! You're {CYAN}, liege to the king of Doma!
	Please forgive me for not being there to stop Kefka...
","Leo: You!? Sir {Cayenne},
	 warrior of Doma.
	 I hope you'll forgive me... I couldn't
	 stop Cefca from using poison.
LEO: You! You're {CYAN}, liege to the king of Doma!
	Please forgive me for not being there to stop Kefka...
","LEO: You! You're {CYAN}, liege to the king of Doma!
	Please forgive me for not being there to stop Kefka...
"
"{ｶｲｴﾝ}「………
	　おぬしのせいではござらんよ。","{Cayenne}: .........
	 The fault is not thine.","{CYAN}: ......
	That wasn't your fault."
"ﾚｵ「それでは、アルブルグで
	　待っております。","Leo: I'll be waiting in Alburg, then.",LEO: I'll be waiting for you in Albrook.
"ｶﾞｽﾄﾗ「幻獣を見つけだし、彼らと
	　和解してくれ。
	　おまえたちだけが、たよりなのだ…
	　たのむぞ。","Gastra: Find the Genjuu and
	 make peace with them.
	 I can rely only on you...
	 Please take care of this.",GESTAHL: We must find the Espers and come to terms with them! You are our last hope!
"{ﾛｯｸ}「{ティナ}が
	　行くのなら俺が行く。","{Lock}: If {Tina}'s going,
	 then I'm going.","{LOCKE}: If {TERRA} goes, I'll go."
"{ﾃｨﾅ}「{ロック}…
	　ありがとう。","{Tina}: {Lock}...
	 thank you.","{TERRA}: {LOCKE}...
	Thank you..."
"{ﾛｯｸ}「みんなは帝国に残ってくれ。
	　どうも、クサイにおいがする…","{Lock}: The rest of you, stay in the Empire.
	 I smell a rat...",{LOCKE}: The rest of you wait here. I smell a rat...
"{ｴﾄﾞｶﾞｰ}「たしかに…
	　皇帝の言ったことをそのまま信用する
	　のはむずかしいな…","{Edgar}: You have a point...
	 It's difficult to trust what the
	 emperor says just like that...","{EDGAR}: Agreed...
	It's hard to trust the Emperor just like that..."
"{ｶｲｴﾝ}「われらがここに残って帝国を
	　監視するでござる。","{Cayenne}: We shall remain here
	 and observe the Empire.",{CYAN}: We'll stay here and investigate.
"{ﾛｯｸ}「そうしてくれ。
	　たのんだぜ！！","{Lock}: Please do.
	 I'm counting on you!!","{LOCKE}: Please do.
	Leave no stone unturned!"
"{ｴﾄﾞｶﾞｰ}「ああ。
	　おまえも気をつけてな！","{Edgar}: Right.
	 You be careful, too!","{EDGAR}: Right.
	And you be careful!"
"皇帝からの伝言です…
	さっきの会食、およびあなたがたが
	直接話した兵士の数によって、つぎの
	ことが決まりました。","A message from the emperor...
	Based on the banquet earlier, as well as
	the number of soldiers you spoke with
	directly, the following has been decided.","A message from the Emperor...
	Because you were able to talk to so many soldiers, you are to be rewarded as follows."
"サウスフィガロから帝国軍を
	てったいさせます。","We are having the Imperial army
	withdraw from South Figaro.",Imperial troops have withdrawn from South Figaro.
"また、ドマから帝国軍を、てったい
	させます。","Additionally, we are having the
	Imperial army withdraw from Doma.","In addition, our troops have also pulled out of Doma."
"ここから東に行ったところにある
	封魔壁の監視所の武器庫を
	解放します。中の武器、防具は
	ご自由にお使いください。","We will open the armory in the
	Mystic Barricade Lookout to the
	east. Please make free use of the
	weapons and armors inside.","We hereby give you the right to take any weapons you desire from the Imperial base to the east, near the sealed gate."
"そしてこれは、皇帝からの
	おくりものです…
「タマのすず」　を手に入れた","And this is a gift from the emperor...
Got a Tama's Bell.","And this is from the Emperor himself...
     Received ""Tintinabar."""
"あなたの会食での態度は完壁でした。
	最後にひとつ、おくりものがあります
「たいまのうでわ」　を手に入れた","Your manners at the banquet were flawless.
	We have one last gift for you.
Got a Warding Bracelet.","Your behavior at the banquet was impeccable. Please take this as well!
     Received ""Charm Bangle."""
"ｹﾌｶ「けっ！どいつもこいつも
	　なんで俺がこんなところに
	　入れられるんだ！！
	　カーッ！","Cefca: Keh! Screw everyone!
	 How come I'm stuck in
	 a place like this!?
	 Kaaaah!","KEFKA: Grrr!
	How DARE they put me in a place like this!"
ｹﾌｶ「シンジラレナーイ！！！,Cefca: I can't BELIEVE it!!!,KEFKA: I don't believe this!
ｹﾌｶ「つまらん。,Cefca: How stupid.,KEFKA: What a bore.
"ｺｳﾃｲ「アルブルグでレオ将軍が待って
	　いる。共同で、大三角島に向かった
	　幻獣を探し出してくれ。
	　たのむぞ…","Emperor: General Leo is waiting in Alburg.
	 Work together to search for the Genjuu
	 that headed to Greater Triangle Island.
	 I'm counting on you...",MAJESTY: General Leo's waiting in Albrook. Please head for Crescent Island and look for the Espers...
"{ｴﾄﾞｶﾞｰ}「アルブルグは帝国を出て南に
	　行ったところにある港町だ。
	　そこから魔導アーマーの運搬船で
	　大三角島へわたる計画だったな…
	　帝国の監視は俺たちでやる。
	　幻獣のほうはたのんだぞ。","{Edgar}: Alburg is a port city on the
	 southern edge of the Empire.
	 A Sorcerous Armor transport is scheduled to
	 cross to Greater Triangle Island from there...
	 We'll keep an eye on the Empire.
	 You take care of the Genjuu.","{EDGAR}: Albrook's a port to the south of the Empire.
	A Magitek Armor hauling ship plies the waters between......
	......there and Crescent Island...
	We'll penetrate the Imperial base. You deal with the Espers!"
"{ｶｲｴﾝ}「やはり、せっしゃ…
	　ケフカだけは許せんでござる…","{Cayenne}: I simply cannot...
	 cannot forgive Cefca...",{CYAN}: Never will I be able to forgive Kefka...
"ナルシェのガード「われわれが
	　決起せずとも、帝国は自滅したわけだ","Narshe Guard: So, the Empire brought itself
	 to ruin without us even lifting a finger.","NARSHE GUARD: We didn't have to do a thing!
	The Empire's troops just ran away in terror!"
"リターナー兵「戦争は…
	　終わったのですね……","Returner Soldier: So...
	 the war's over...","RETURNER: The war...
	It's over...right?"
"ｼﾞｭﾝ「……なるほど。
	　たしかに幻獣をほっておくわけには
	　いかないな…","Jun: ...I see.
	 Certainly, we can't just ignore the Genjuu...","ARVIS: Makes sense.
	Can't just forget about Espers..."
"ﾊﾞﾅﾝ「ガストラがそんなことを言った
	　のか……
	　帝国と手を結んで幻獣をさがしに
	　行くというのか…　　フーム…","Bannan: Gastra said such a thing...?
	 Joining hands with the Empire to go
	 look for the Genjuu...? Hmmm...",BANON: Could Gestahl have meant such a thing? Team up with the Empire to track down an Esper...  Hmm...
"{ﾏｯｼｭ}「本当に帝国を信用して
	　もだいじょうぶだろうか…
	　俺はなんだかいやな予感がする…","{Mash}: Will we really be okay
	 trusting the Empire...?
	 I've got a bad feeling about this...",{SABIN}: Can we really trust the Empire?! I have an awful feeling about this...
"{ｶﾞｳ}「酒のにおい…
	　おやじのにおい……？","{Gau}: Smell like booze...
	 smell like dad...?",{GAU}: Smells like parents' house here...why so familiar?
{ﾓｸﾞ}「クポ！,{Mog}: Kupo!,{MOG}: Kupo!
"ｼﾄﾞ「立派な船じゃのう。
	{ｾｯﾂｧｰ}「不時着のショックで
	　エンジンがやられちまった。
	　直すのに少し時間がかかるな…","Cid: A fine ship.
	{Setzer}: The shock of the emergency
	 landing did a number on the engine.
	 It's gonna take a while to fix...","CID: Wow, what a ship!
	{SETZER}: That landing really messed up the engine. It'll take a while to fix..."
"ｼﾄﾞ「わしが手伝おう。
	　メカの事ならくわしいぞ。","Cid: I'll help.
	 I know all about mechanics.","CID: I'll help.
	No machine can stump me!"
{ｾｯﾂｧｰ}「えんりょしとくよ。,{Setzer}: No thanks.,{SETZER}: Don't touch anything!
"ｼﾄﾞ「ギャンブル場をつぶして
	　改造すれば、もっと速くなるぞ。","Cid: You'd get more speed if you'd just
	 scrap the casino and remodel a bit.",CID: Go kill time in the casino! I can speed this crate up!
"{ｾｯﾂｧｰ}「……
	　ろんがいだ！！
	　いいから出てってくれ！","{Setzer}: ......
	 Out of the question!!
	 Just get out!","{SETZER}: ......
	You little...!!
	Get outta my sight!"
ｼﾄﾞ「本当に速くなるのにのー……,Cid: But it really would go faster...,CID: But I could really make this thing hum...!
"{ﾃｨﾅ}「本当に好きなのね。
	　この船が。
{Tina}: This ship...
	 you must really like it.
{TERRA}: You love this ship, more than anything, huh?
","{Tina}: This ship...
	 you must really like it.
{TERRA}: You love this ship, more than anything, huh?
","{TERRA}: You love this ship, more than anything, huh?
"
"{ｾｯﾂｧｰ}「きままなギャンブラー
	　ぐらしをしてる俺にも、若いころは
	　必死で打ち込める事があった…","{Setzer}: I may be living the life of a
	 selfish gambler, but in my youth I
	 had something I was mad about...","{SETZER}: Actually, when I was young there was something I was mad about..."
{ﾃｨﾅ}「……え？,{Tina}: ...hm?,{TERRA}: ...huh?
"{ｾｯﾂｧｰ}「こいつを
	　世界一速い船にして大空をかける…
	　そんな夢を追いかけていた。","{Setzer}: Making this the world's
	 fastest ship and sailing the heavens...
	 I chased after that dream.",{SETZER}: In my youth I dreamed of having the world's fastest airship.
"{ﾃｨﾅ}「今は違うの？
{Tina}: But not anymore?
{TERRA}: You mean......
","{Tina}: But not anymore?
{TERRA}: You mean......
","{TERRA}: You mean......
"
"{ｾｯﾂｧｰ}「そのころは
	　俺を夢にかり立てるヤツがいた。
	　世界最速の船、ファルコン号を
	　あやつる飛空艇乗りだ。
	俺とヤツは…　時にはよきライバル、
	時には夢を語り合う親友だった。
	どちらが先に空を突き破り、満天の
	星空の中を航海できるかと……
	だがヤツがファルコンと共に
	姿を消した時、俺の青春も終わった。","{Setzer}: There was someone who
	 spurred on my dream back then.
	 Ran the world's fastest ship,
	 the airship Falcon.
	The two of us... we were great rivals at times,
	great friends talking about our dreams at others.
	About which of us could first break through the
	sky and voyage into the starry heavens...
	But when my friend and the Falcon went
	missing together, my youth ended, too.","{SETZER}: At that time there was a young girl who piloted the Falcon, the fastest vessel ever made.
	Sometimes we were the worst of rivals...but other times we were the best of friends.
	We always egged each other on to go faster and higher. When she disappeared along with her ship...
	I felt like I lost my spirit."
"{ｾｯﾂｧｰ}「……
	　ダリル………","{Setzer}: ......
	 Daryl...","{SETZER}: ...
	Poor Daryl..."
"{ｾｯﾂｧｰ}「飛空艇の修理はまだだ。
　とりあえずアルブルグから船で
　すすんでくれ。","{Setzer}: The airship's still not repaired.
	 Go ahead on the ship from Alburg
	 for now.",{SETZER}: Repairs aren't finished yet. You'd better take the boat from Albrook.
"{ﾃｨﾅ}「{ガウ}が…　
	{ﾛｯｸ}「船が苦手なんだろ。
	　しかたない、２人で行こう。","{Tina}: {Gau}... 
	{Lock}: Must not be good with boats.
	 Oh well, let's go with just us two.","{TERRA}: ...
	Where's {GAU}...? 
	{LOCKE}: He hates ships.
	We must...leave him behind!"
"ﾚｵ「待っていたぞ。
	　私と同行するのは帝国の将軍一人と
	　街でやとった男一人だ。","Leo: I've been waiting.
	 Traveling with me are another Imperial
	 general and a man we hired in town.","LEO: There you are. Another of the Empire's generals, and a person I hired in town will be traveling with us."
"俺は名をすてた男…
	人は俺を………","I'm a man who abandoned his name...
	People call me...","I've forsaken the world.
	Some people call me..."
"ﾚｵ「しょうかいしよう。
　{セリス}将軍と{シャドウ}だ。","Leo: Let me introduce you.
	 General {Celes} and {Shadow}.","LEO: Let me introduce...
	General {CELES}...and {SHADOW}."
"ﾚｵ「どうかしたのか？　
	{ﾛｯｸ}「いえ……","Leo: Is something wrong?
	{Lock}: No...","LEO: Is something wrong? 
	{LOCKE}: No..."
"ﾚｵ「さて、出港は明日だ。
	　君達のために宿をとっておいた。","Leo: So, we're departing tomorrow.
	 I've arranged lodging for you all.",LEO: Our departure isn't till tomorrow. I've arranged some lodging for you.
ﾚｵ「今日はゆっくり休んでくれ。,Leo: Take your time and rest today.,"LEO: Please, get some rest."
"{ﾃｨﾅ}「{セリス}……　
	{ｾﾘｽ}「……","{Tina}: {Celes}...
	{Celes}: ......","{TERRA}: {CELES}... 
	{CELES}: ......"
{ﾛｯｸ}「{セリス}……,{Lock}: {Celes}...,{LOCKE}: {CELES}...
"{ｼｬﾄﾞｳ}「今は帝国にやとわれた身だ。
	　…と言っても心配はするな。
	　お前らを殺るためにやとわれたわけ
	　では無いからな。","{Shadow}: I'm in the employ
	 of the Empire now.
	 ...but even so, don't worry.
	 I wasn't hired to kill you.","{SHADOW}: I'm working for the Empire. But don't worry...
	I'm not going to garrote you!"
"レオ将軍からうけたまわって
	おります。
	どうぞ…","We have received word from General Leo.
	Go right ahead...",General Leo told us about you. By all means...
{ﾛｯｸ}「{セリス}…,{Lock}: {Celes}...,{LOCKE}: {CELES}...
"{ﾛｯｸ}「どうして…　
　どうして何も話してくれない？","{Lock}: Why...
	 why won't you say anything to me?","{LOCKE}: Come on...! 
	Why won't you speak to me?"
"{ﾛｯｸ}「少しでも…
	　うたがってしまって…　
	　だが、まだ仲間として…","{Lock}: Just a little...
	 I did doubt you...
	 but we're still on the same side...","{LOCKE}: Even if it was only a little...
	I doubted you... 
	But I'm still your friend..."
{ﾛｯｸ}「{セリス}！,{Lock}: {Celes}!,{LOCKE}: {CELES}!
"{ｼｬﾄﾞｳ}「船に乗る前に、
	　こいつには羽をのばさせてやらないと","{Shadow}: I've got to let him stretch
	 his wings before we get on the ship.","{SHADOW}: You kids stay out of trouble now, you hear?"
ﾚｵ「さあ、行くぞ。,"Leo: Now, let's go.",LEO: Right...let's go.
兵士「機関、動力とも異常ありません。,Soldier: No engine or motive problems.,SOLDIER: All systems A-O-K.
"ﾚｵ「明日の朝には着くだろう。
	　それまで休んでいるといい。","Leo: I expect to arrive tomorrow morning.
	 You can rest until then.",LEO: We should arrive tomorrow morning. Why not rest until then?
ﾚｵ「ねつけないのか？,Leo: Can't fall asleep?,LEO: You all right?
ﾚｵ「感情がもどったそうだな…,Leo: I hear your emotions have returned...,LEO: Looks like you're feeling better...
"{ﾃｨﾅ}「……不思議なものね。
	　帝国に利用され、思考までをも
　コントロールされていた私が、
　こうしてまた帝国の人間と
　ともに行動しているなんて。","{Tina}: ...it's funny.
	 I was used by the Empire, and
	 even my thoughts were controlled,
	 but now here I am, working together
	 with people from the Empire again.","{TERRA}: Funny, isn't it...
	I was used by the Empire...
	even had my thoughts ripped from me...
	But here I am cooperating with the ""enemy""..."
"ﾚｵ「帝国の人間とて、同じ人間。
	　全てがケフカのようなヤツばかり
	　ではない。","Leo: In the Empire or not, we're still
	 human. We aren't all like Cefca.","LEO: People are people.
	Not all of us are like Kefka."
{ﾃｨﾅ}「あなたは………どうなの？,{Tina}: What about... you?,"{TERRA}: What...
	what's with you?"
"ﾚｵ「お前が幻獣とのハーフであり
	　魔導の実験台として苦しめられている
	　のを知りながら…
	　それを止められなかった俺も、
	　ケフカと同罪さ…","Leo: I knew that you were a Genjuu
	 hybrid who was being abused as
	 a sorcery guinea pig...
	 I'm just as guilty as Cefca for
	 not being able to stop it...","LEO: I knew you were being used as a kind of biological weapon...
	And because I didn't do anything about it, I'm no different than Kefka..."
"{ﾃｨﾅ}「幻獣と人間が
	　愛し合えるのなら…
	　その子である私と人間とは…
	　愛し合えるのかしら？","{Tina}: If it's possible for a Genjuu
	 and a human to love each other...
	 as their child, can I and a human...
	 love each other?","{TERRA}: I'm the product of a human and an Esper...
	Will I ever be able to love someone?"
ﾚｵ「もちろんだとも。,Leo: But of course.,LEO: Of course!
"{ﾃｨﾅ}「でも…
	　私はまだ愛という感情を知らない。","{Tina}: But...
	 I don't know what love is yet.","{TERRA}: But...
	I haven't felt that way yet..."
"ﾚｵ「お前はまだ若い。
	　……いずれわかるようになる。
	　きっと……","Leo: You're still young.
	 ...you'll understand eventually.
	 I'm sure of it...","LEO: You're just young.
	...but I understand what you mean. I understand only too well..."
"{ﾃｨﾅ}「でも……
	　私は、今知りたい……","{Tina}: But...
	 I want to know now...","{TERRA}: But...
	I want to know what love is...
	now!"
{ﾃｨﾅ}「誰……？,{Tina}: Who's there...?,{TERRA}: Who is it?
"{ｼｬﾄﾞｳ}「星を見ながら
	　ねようと思ってな。","{Shadow}: Thought I'd go to sleep
	 watching the stars.",{SHADOW}: Thought I'd sleep out under the stars.
"{ﾃｨﾅ}「今の話……
	　聞いていたの？","{Tina}: Did you...
	 hear what we were talking about?","{TERRA}: Did you hear...
	...what we were just talking about?"
{ｼｬﾄﾞｳ}「聞くつもりはなかった。,{Shadow}: I didn't mean to listen in.,{SHADOW}: I didn't mean to overhear anything.
{ﾃｨﾅ}「あの……,{Tina}: Um...,{TERRA}: Umm...
"{ｼｬﾄﾞｳ}「俺は、何も教えてやれん。
	　答は自分で見つけるものだ。","{Shadow}: I can't teach you anything.
	 You need to find your own answers.","{SHADOW}: I can't help you.
	You must look within for answers."
{ｼｬﾄﾞｳ}「{ティナ}。,{Shadow}: {Tina}.,{SHADOW}: {TERRA}.
"{ｼｬﾄﾞｳ}「世の中には、
	　自ら感情をすてて生きようとする
	　人間もいるのだ。
	　それを、忘れるな。","{Shadow}: Some in this world try
	 to throw away their own emotions
	 and live life that way.
	 Don't forget that.",{SHADOW}: In this world are many like me who've killed their emotions. Don't forget that.
{ﾛｯｸ}「う　う　う……,{Lock}: Uuuuurk...,{LOCKE}: Urgh... Uooh... Argh...
{ﾛｯｸ}「ぐ　ぐるぢひ～,{Lock}: F-feeling lousy...,{LOCKE}: Ooh... Ohhhhhhh...
{ﾛｯｸ}「げろげろ～,{Lock}: *puke*,{LOCKE}: I think I'm gonna...
"{ﾛｯｸ}「なんてこったい…
	　世界一のトレジャーハンターとも
	　あろうものが…","{Lock}: What a joke...
	 Some world's greatest treasure
	 hunter I am...","{LOCKE}: Not a word of this to anyone else, o shrouded one..."
{ﾛｯｸ}「げろげろ～,{Lock}: *puke*,{LOCKE}: I think I'm gonna...
"大三角島には、失われた魔法の力が
	いまだ、わずかながら残っていると
	うわさされています。","It's rumored that on Greater Triangle Island
	the lost power of magic remains even now,
	though only faintly.",Rumor has it that the power of magic still exists on Crescent Island.
"ﾚｵ「もうすぐ大三角島だ。
	　上陸したら二手に別れよう。
	　私と{セリス}が組むから、
	　君は{ロック}と
	　{シャドウ}と組んでくれ。
	　幻獣の手がかりを見つける事が
	　できたなら、すぐ報告をするように。","Leo: We're nearly to Greater Triangle Island.
	 We'll split into two groups upon making land.
	 {Celes} and I are teaming up, so
	 you go with {Lock} and {Shadow}.
	 Report at once if you're able to
	 find any signs of the Genjuu.","LEO: We're almost at Crescent Island. When we disembark, we'll split into two groups.
	{CELES} and I will form one group. {TERRA}, you go with {LOCKE} and {SHADOW}.
	If you spot the Espers, report at once!"
"ﾚｵ「{ティナ}、
	　昨日の話のつづきはまた再会の時に…","Leo: {Tina}, we can continue yesterday's
	 conversation when we meet again...","LEO: {TERRA}, we'll continue yesterday's conversation later..."
{ﾛｯｸ}「俺達もいくか。,{Lock}: Guess we'd better head out too.,{LOCKE}: Let's go.
{ﾛｯｸ}「{シャドウ}！,{Lock}: {Shadow}!,{LOCKE}: {SHADOW}!
{ｾﾘｽ}「あ、{ロック}…,"{Celes}: Ah, {Lock}...",{CELES}: Hey...{LOCKE}...
{ｾﾘｽ}「あの、わたし……,"{Celes}: Um, I...","{CELES}: Um, I..."
{ﾛｯｸ}「いくぞ。,{Lock}: Let's go.,{LOCKE}: Come on.
"村長「ゆっくりしていきなされ。
	　魔法…？　なんですかなそれは？","Village Chief: Make yourselves at home.
	 Magic...? And what would that be?","MAYOR: Welcome, welcome!
	Magic...? What is this ""magic""?"
"幻獣？　何だ、それは？
	獣の事なら、村はずれの家にすむ
	じいさんに聞いてみな。","Genjuu? What's that?
	If it's a creature, try asking the old man who
	lives in the house on the edge of the village.","Espers? What in blazes are they? If they're animals, talk to the old guy that lives on the edge of town."
"村はずれの{ストラゴス}じいさんは、
	ああ見えても、昔はすごいりょうし
	だったんだ。","Old man {Stragus}, on the edge of the
	village, may not look like much, but he
	used to be an amazing hunter.","Old man {STRAGO} looks like he's on his last legs, but he used to be a powerful warrior."
わしになんの用ゾイ？,What did you want of me?,Whatcha want with me?
"　　　しょうがいをかけて
　モンスターの謎を追いつづける
　じゅんすいな夢を持った老人……","He has spent a lifetime
	pursuing the mysteries of monsters.
	An old man with pure dreams...","An elderly gentleman, pure of heart, and learned in the ways of monsters..."
"{ｽﾄﾗｺﾞｽ}「幻獣？　幻獣…　んー
	　久しく聞かなかった言葉じゃゾイ。
	{ﾛｯｸ}「知っているんですか？","{Stragus}: Genjuu? Genjuu... hmm...
	 I've not heard that word in a long time.
	{Lock}: You know about them?","{STRAGO}: Espers?
	Espers...Hmm...
	Not really familiar with that word.
	{LOCKE}: But you've heard it before?"
"{ｽﾄﾗｺﾞｽ}「いや、知らぬ。
	　知らん　知らん…
	　わしゃ　な～んも　知らんゾイ。","{Stragus}: No, I don't.
	 Don't know, don't know...
	 Really. Don't know. A thing.","{STRAGO}: Nope, uhn uhn...
	Can't say I have.
	Honestly can't say I have! "
『あやしい……,"""Suspicious...""",That's odd...
おじーちゃーん！！,Graaaampaaaa!!,Grandpa!
{ｽﾄﾗｺﾞｽ}「あた、あた、あた,"{Stragus}: Hey, hey, hey!",{STRAGO}: Hey...HEY!
"{ｽﾄﾗｺﾞｽ}「まったく…
	　なにをするんじゃ。","{Stragus}: Good grief...
	 what are you up to?","{STRAGO}: What in blazes...
	What're you doing?"
"　　その絵ふでは、すべてのものを
　　　キャンバスにえがきだす…
　　　　　　森、水、光
　　　　そして、人の心までも","Her paintbrush expresses
	all things on canvas...
	woods, water, light,
	and even human hearts.","In her pictures she captures everything:
	forests, water, light...
	the very essence of life..."
"{ﾘﾙﾑ}「おじいちゃん。
	　誰、そこの人？　新しいお客さん？
	　この人も魔法をつかう人なの？
	{ｽﾄﾗｺﾞｽ}「あわわっ　こら！","{Relm}: Grampa.
	 Who're these people? New guests?
	 Are they magic users too?
	{Stragus}: Ack, cut it out!","{RELM}: Grandpa.
	Who are these people? Friends? Can they use magic, too?
	{STRAGO}: Yaa! Hush!"
"{ﾘﾙﾑ}「まあ　かわいい犬。
	{ｼｬﾄﾞｳ}「よせ。
	　かみつかれるぞ。","{Relm}: Ooh, what a cute dog.
	{Shadow}: Don't.
	 You'll get bitten.","{RELM}: What a cute doggy!
	{SHADOW}: Get away.
	He bites."
"{ｽﾄﾗｺﾞｽ}「奥に入ってなさい。
	{ﾘﾙﾑ}「なんでなのよ～！
	　この、がんこジジイ！！","{Stragus}: Go back upstairs.
	{Relm}: How come!?
	 You stubborn old geezer!!","{STRAGO}: Go to your room!
	{RELM}: I will not!
	What a fussy old man!"
"{ｽﾄﾗｺﾞｽ}「いいから行くのじゃ！
	{ﾘﾙﾑ}「はーい。","{Stragus}: Just go, already!
	{Relm}: Fiiiine.","{STRAGO}: Please...leave us!
	{RELM}: Well...all right..."
"{ｽﾄﾗｺﾞｽ}「これこれ
	　よそさまの犬を…","{Stragus}: Oh, dear me, your dog...","{STRAGO}: Hoo boy...
	Seems to like your dog..."
{ﾘﾙﾑ}「イ～ッだ！！,{Relm}: Nyaaaah!!,{RELM}: What a sweet puppy!
{ｽﾄﾗｺﾞｽ}「まったく、もう…,"{Stragus}: Oh, dear me...",{STRAGO}: This is terrible...
"{ｽﾄﾗｺﾞｽ}「すまんゾイ。
	{ｼｬﾄﾞｳ}「かまわん。
	　人にはなつかない犬なのに…","{Stragus}: Sorry about that.
	{Shadow}: I don't mind.
	 My dog just never likes anyone...","{STRAGO}: Sorry.
	{SHADOW}: No problem.
	The dog usually doesn't like people, though..."
"{ｽﾄﾗｺﾞｽ}「すまんが
	　きっと力にはなれんぞ。
	{ﾛｯｸ}「そ、そうですか…
{Stragus}: Terribly sorry,
	 but I'm sure I can't help you.
	{Lock}: R-really...
{STRAGO}: Please excuse her.
	She's just young.
	{LOCKE}: Hmmm...
","{Stragus}: Terribly sorry,
	 but I'm sure I can't help you.
	{Lock}: R-really...
{STRAGO}: Please excuse her.
	She's just young.
	{LOCKE}: Hmmm...
","{STRAGO}: Please excuse her.
	She's just young.
	{LOCKE}: Hmmm...
"
"{ｽﾄﾗｺﾞｽ}「ここは、どこにでもある
	　いなかの村に過ぎぬ。
	　幻獣などといった話とは、
	　ま～ったく関係ないのじゃ。","{Stragus}: This is nothing more than
	 a run-of-the-mill country village.
	 We have aaaabsolutely nothing
	 to do with such things as Genjuu.",{STRAGO}: This is just a back-water village. We can tell you nothing about your Espers...
"{ﾛｯｸ}「う～む。
	　この村には、なにかあるな…
	{ﾃｨﾅ}「しばらく様子を見ましょう。","{Lock}: Hmm.
	 Something's up with this village...
	{Tina}: Let's look around a bit.","{LOCKE}: I see...
	There's something wrong here...
	{TERRA}: Let's have a look around."
"{ﾛｯｸ}「では、私たちはこれで…
	{ｽﾄﾗｺﾞｽ}「なんの役にもたてんで、
	　すまんかったの。","{Lock}: We'll be off, then...
	{Stragus}: Sorry I couldn't be of any help.","{LOCKE}: Thanks for your time!
	{STRAGO}: Sorry I couldn't have been more helpful!"
"{ｼｬﾄﾞｳ}「インターセプター！
	　行くぞ！","{Shadow}: Interceptor!
	 We're leaving!","{SHADOW}: Interceptor!
	Come!"
{ﾘﾙﾑ}「バイバイ,{Relm}: Bye-bye.,"{RELM}: Oh, all right..."
『ん？　何の声だ？,"""Hm? Do I hear someone?""",Uh?! What was that?
ファイア！！,Fire!!,FIRE!!
ファイア！！,Fire!!,FIRE!!
んが！？　やべえ！,"Ngah!? Oh, crap!",N'ga! Oh no!
『ん？　何の声だ？,"""Hm? Do I hear someone?""",Uh?! What was that?
ママー、いたいよー,"Mommy, it hurts!",Mama...it hurts...
はいはい。ケア…,"Fine, fine. Cur...",Oh all right. Cure...
薬はどこかしら…,Now where was my medicine...?,...medicine...where is my cure medicine?!
ママー　ケアルしてよー！,Mommy... do Cure!,"Mama!
	Please use cure on me!"
"{ストラゴス}じいさんに
	あったのかい？
	じゃあ、宿屋の親父もむちゃな
	値段はいわないだろうね。","You've met old man {Stragus}?
	The old man at the inn probably won't
	charge you ridiculous prices, then.","Have you talked to old man {STRAGO}? Do so, and the inn keeper may be more reasonable."
"１ぱく１ギルになります。
		おやすみになられますか？","One night's one gil.
	Care to rest?","1 GP per night.
	Why not relax for a spell?"
"{ｽﾄﾗｺﾞｽ}「大変じゃ！
	　{リルム}が！","{Stragus}: It's terrible!
	 {Relm}!","{STRAGO}: This is awful!
	{RELM}...she's..."
"{ﾃｨﾅ}「{リルム}ちゃんが！？
	{ｽﾄﾗｺﾞｽ}「そうなんじゃ！
	　{リルム}が火事になって、
	　近所の家がまきこまれて…
	あややや……、何が何だか
	わからなくなってきたゾイ！","{Tina}: {Relm}-chan!?
	{Stragus}: Yes!
	 {Relm} is stuck in a neighbor's
	 house that caught on fire...
	Ayayaya... I just don't know
	what's what anymore!","{TERRA}: {RELM}'s in danger?
	{STRAGO}: Yes!
	She was at a neighbor's house when a fire broke out. I won't be able to stand it if something happens to her!"
"{ｽﾄﾗｺﾞｽ}「とにかく！
	　手をかしてくれんか！","{Stragus}: Anyhow!
	 Would you help me!?","{STRAGO}: Please!
	Won't you help?!"
{ﾛｯｸ}「{シャドウ}！,{Lock}: {Shadow}!,{LOCKE}: {SHADOW}!
